user_id,final_status,rejection_stage,primary_reason,fraud_flag,category,data_source
REF_0022,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (413)']",True,Fraud,Adversarial_Injection
REF_0023,REJECTED,CreditBureauAgent,CRITICAL FRAUD RISK (Score 80). ['CRITICAL: Income >1.5x Verified (3.3x)'],True,Fraud,Adversarial_Injection
REF_0024,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (457)']",True,Fraud,Adversarial_Injection
REF_0025,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (502)']",True,Fraud,Adversarial_Injection
REF_0026,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (308)']",True,Fraud,Adversarial_Injection
REF_0027,REJECTED,CreditBureauAgent,CRITICAL FRAUD RISK (Score 80). ['CRITICAL: Income >1.5x Verified (3.3x)'],True,Fraud,Adversarial_Injection
REF_0028,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (343)']",True,Fraud,Adversarial_Injection
REF_0029,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 165). ['CRITICAL: Hidden Debt Detected (₹54212)', 'CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (551)']",True,Fraud,Adversarial_Injection
REF_0030,REJECTED,CreditBureauAgent,CRITICAL FRAUD RISK (Score 80). ['CRITICAL: Income >1.5x Verified (3.3x)'],True,Fraud,Adversarial_Injection
REF_0031,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (354)']",True,Fraud,Adversarial_Injection
REF_0032,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (514)']",True,Fraud,Adversarial_Injection
REF_0033,REJECTED,CreditBureauAgent,CRITICAL FRAUD RISK (Score 80). ['CRITICAL: Income >1.5x Verified (3.3x)'],True,Fraud,Adversarial_Injection
REF_0034,REJECTED,CreditBureauAgent,CRITICAL FRAUD RISK (Score 80). ['CRITICAL: Income >1.5x Verified (3.3x)'],True,Fraud,Adversarial_Injection
REF_0035,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 95). ['CRITICAL: Income >1.5x Verified (3.3x)', 'Credit Score Risk (625)']",True,Fraud,Adversarial_Injection
REF_0036,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 95). ['CRITICAL: Income >1.5x Verified (3.3x)', 'Credit Score Risk (618)']",True,Fraud,Adversarial_Injection
REF_0037,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (570)']",True,Fraud,Adversarial_Injection
REF_0038,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (388)']",True,Fraud,Adversarial_Injection
REF_0039,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (454)']",True,Fraud,Adversarial_Injection
REF_0040,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (342)']",True,Fraud,Adversarial_Injection
REF_0041,REJECTED,CreditBureauAgent,CRITICAL FRAUD RISK (Score 80). ['CRITICAL: Income >1.5x Verified (3.3x)'],True,Fraud,Adversarial_Injection
REF_0042,REJECTED,CreditBureauAgent,CRITICAL FRAUD RISK (Score 80). ['CRITICAL: Income >1.5x Verified (3.3x)'],True,Fraud,Adversarial_Injection
REF_0043,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (465)']",True,Fraud,Adversarial_Injection
REF_0044,REJECTED,CreditBureauAgent,CRITICAL FRAUD RISK (Score 80). ['CRITICAL: Income >1.5x Verified (3.3x)'],True,Fraud,Adversarial_Injection
REF_0045,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 95). ['CRITICAL: Income >1.5x Verified (3.3x)', 'Credit Score Risk (632)']",True,Fraud,Adversarial_Injection
REF_0046,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 165). ['CRITICAL: Hidden Debt Detected (₹70607)', 'CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (560)']",True,Fraud,Adversarial_Injection
REF_0047,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (427)']",True,Fraud,Adversarial_Injection
REF_0048,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (584)']",True,Fraud,Adversarial_Injection
REF_0049,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (419)']",True,Fraud,Adversarial_Injection
REF_0050,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (646)']",True,Fraud,Adversarial_Injection
REF_0051,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (560)']",True,Fraud,Adversarial_Injection
REF_0052,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (501)']",True,Fraud,Adversarial_Injection
REF_0053,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (556)']",True,Fraud,Adversarial_Injection
REF_0054,REJECTED,CreditBureauAgent,CRITICAL FRAUD RISK (Score 80). ['CRITICAL: Income >1.5x Verified (3.3x)'],True,Fraud,Adversarial_Injection
REF_0055,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (474)']",True,Fraud,Adversarial_Injection
REF_0056,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 170). ['CRITICAL: Income >1.5x Verified (3.3x)', 'CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (582)']",True,Fraud,Adversarial_Injection
REF_0057,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (609)']",True,Fraud,Adversarial_Injection
REF_0058,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (524)']",True,Fraud,Adversarial_Injection
REF_0059,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (457)']",True,Fraud,Adversarial_Injection
REF_0060,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹29790)', 'Credit Score Risk (534)']",True,Fraud,Adversarial_Injection
REF_0061,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹26088)', 'Credit Score Risk (560)']",True,Fraud,Adversarial_Injection
REF_0062,REJECTED,CreditBureauAgent,CRITICAL FRAUD RISK (Score 80). ['CRITICAL: Income >1.5x Verified (3.3x)'],True,Fraud,Adversarial_Injection
REF_0063,REJECTED,CreditBureauAgent,CRITICAL FRAUD RISK (Score 80). ['CRITICAL: Income >1.5x Verified (3.3x)'],True,Fraud,Adversarial_Injection
REF_0064,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (622)']",True,Fraud,Adversarial_Injection
REF_0065,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (585)']",True,Fraud,Adversarial_Injection
REF_0066,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 165). ['CRITICAL: Hidden Debt Detected (₹38437)', 'CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (536)']",True,Fraud,Adversarial_Injection
REF_0067,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (516)']",True,Fraud,Adversarial_Injection
REF_0068,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (610)']",True,Fraud,Adversarial_Injection
REF_0069,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (647)']",True,Fraud,Adversarial_Injection
REF_0070,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (467)']",True,Fraud,Adversarial_Injection
REF_0071,REJECTED,CreditBureauAgent,CRITICAL FRAUD RISK (Score 80). ['CRITICAL: Income >1.5x Verified (3.3x)'],True,Fraud,Adversarial_Injection
REF_0072,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 170). ['CRITICAL: Income >1.5x Verified (3.3x)', 'CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (560)']",True,Fraud,Adversarial_Injection
REF_0073,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (405)']",True,Fraud,Adversarial_Injection
REF_0074,REJECTED,CreditBureauAgent,CRITICAL FRAUD RISK (Score 80). ['CRITICAL: Income >1.5x Verified (3.3x)'],True,Fraud,Adversarial_Injection
REF_0075,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 170). ['CRITICAL: Income >1.5x Verified (3.3x)', 'CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (578)']",True,Fraud,Adversarial_Injection
REF_0076,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹29087)', 'Credit Score Risk (553)']",True,Fraud,Adversarial_Injection
REF_0077,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (521)']",True,Fraud,Adversarial_Injection
REF_0078,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 95). ['CRITICAL: Income >1.5x Verified (3.3x)', 'Credit Score Risk (638)']",True,Fraud,Adversarial_Injection
REF_0079,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 95). ['CRITICAL: Income >1.5x Verified (3.3x)', 'Credit Score Risk (607)']",True,Fraud,Adversarial_Injection
REF_0080,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (406)']",True,Fraud,Adversarial_Injection
REF_0081,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (543)']",True,Fraud,Adversarial_Injection
REF_0082,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (363)']",True,Fraud,Adversarial_Injection
REF_0083,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 95). ['CRITICAL: Income >1.5x Verified (3.3x)', 'Credit Score Risk (616)']",True,Fraud,Adversarial_Injection
REF_0084,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (586)']",True,Fraud,Adversarial_Injection
REF_0085,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 170). ['CRITICAL: Income >1.5x Verified (3.3x)', 'CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (551)']",True,Fraud,Adversarial_Injection
REF_0086,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (460)']",True,Fraud,Adversarial_Injection
REF_0087,REJECTED,CreditBureauAgent,CRITICAL FRAUD RISK (Score 80). ['CRITICAL: Income >1.5x Verified (3.3x)'],True,Fraud,Adversarial_Injection
REF_0088,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (508)']",True,Fraud,Adversarial_Injection
REF_0089,REJECTED,CreditBureauAgent,CRITICAL FRAUD RISK (Score 80). ['CRITICAL: Income >1.5x Verified (3.3x)'],True,Fraud,Adversarial_Injection
REF_0090,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 95). ['CRITICAL: Income >1.5x Verified (3.3x)', 'Credit Score Risk (641)']",True,Fraud,Adversarial_Injection
REF_0091,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (591)']",True,Fraud,Adversarial_Injection
REF_0092,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 95). ['CRITICAL: Income >1.5x Verified (3.3x)', 'Credit Score Risk (631)']",True,Fraud,Adversarial_Injection
REF_0093,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 170). ['CRITICAL: Income >1.5x Verified (3.3x)', 'CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (591)']",True,Fraud,Adversarial_Injection
REF_0094,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹38591)', 'Credit Score Risk (645)']",True,Fraud,Adversarial_Injection
REF_0095,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 95). ['CRITICAL: Income >1.5x Verified (3.3x)', 'Credit Score Risk (622)']",True,Fraud,Adversarial_Injection
REF_0096,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 170). ['CRITICAL: Income >1.5x Verified (3.3x)', 'CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (559)']",True,Fraud,Adversarial_Injection
REF_0097,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 165). ['CRITICAL: Hidden Debt Detected (₹35114)', 'CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (560)']",True,Fraud,Adversarial_Injection
REF_0098,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (460)']",True,Fraud,Adversarial_Injection
REF_0099,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 95). ['CRITICAL: Income >1.5x Verified (3.3x)', 'Credit Score Risk (608)']",True,Fraud,Adversarial_Injection
REF_0100,REJECTED,CreditBureauAgent,CRITICAL FRAUD RISK (Score 80). ['CRITICAL: Income >1.5x Verified (3.3x)'],True,Fraud,Adversarial_Injection
REF_0101,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 95). ['CRITICAL: Income >1.5x Verified (3.3x)', 'Credit Score Risk (628)']",True,Fraud,Adversarial_Injection
REF_0102,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 170). ['CRITICAL: Income >1.5x Verified (3.3x)', 'CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (591)']",True,Fraud,Adversarial_Injection
REF_0103,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (456)']",True,Fraud,Adversarial_Injection
REF_0104,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (311)']",True,Fraud,Adversarial_Injection
REF_0105,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (510)']",True,Fraud,Adversarial_Injection
REF_0106,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 170). ['CRITICAL: Income >1.5x Verified (3.3x)', 'CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (554)']",True,Fraud,Adversarial_Injection
REF_0107,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 165). ['CRITICAL: Hidden Debt Detected (₹101052)', 'CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (502)']",True,Fraud,Adversarial_Injection
REF_0108,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹63589)', 'Credit Score Risk (605)']",True,Fraud,Adversarial_Injection
REF_0109,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 170). ['CRITICAL: Income >1.5x Verified (3.3x)', 'CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (581)']",True,Fraud,Adversarial_Injection
REF_0110,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 170). ['CRITICAL: Income >1.5x Verified (3.3x)', 'CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (571)']",True,Fraud,Adversarial_Injection
REF_0111,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 170). ['CRITICAL: Income >1.5x Verified (3.3x)', 'CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (580)']",True,Fraud,Adversarial_Injection
REF_0112,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹28265)', 'Credit Score Risk (533)']",True,Fraud,Adversarial_Injection
REF_0113,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (496)']",True,Fraud,Adversarial_Injection
REF_0114,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 165). ['CRITICAL: Hidden Debt Detected (₹48873)', 'CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (559)']",True,Fraud,Adversarial_Injection
REF_0115,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (584)']",True,Fraud,Adversarial_Injection
REF_0116,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 95). ['CRITICAL: Income >1.5x Verified (3.3x)', 'Credit Score Risk (620)']",True,Fraud,Adversarial_Injection
REF_0117,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 95). ['CRITICAL: Income >1.5x Verified (3.3x)', 'Credit Score Risk (618)']",True,Fraud,Adversarial_Injection
REF_0118,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (330)']",True,Fraud,Adversarial_Injection
REF_0119,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (606)']",True,Fraud,Adversarial_Injection
REF_0120,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (630)']",True,Fraud,Adversarial_Injection
REF_0121,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (572)']",True,Fraud,Adversarial_Injection
REF_0122,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 170). ['CRITICAL: Income >1.5x Verified (3.3x)', 'CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (583)']",True,Fraud,Adversarial_Injection
REF_0123,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (373)']",True,Fraud,Adversarial_Injection
REF_0124,REJECTED,CreditBureauAgent,CRITICAL FRAUD RISK (Score 80). ['CRITICAL: Income >1.5x Verified (3.3x)'],True,Fraud,Adversarial_Injection
REF_0125,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (622)']",True,Fraud,Adversarial_Injection
REF_0126,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹28408)', 'Credit Score Risk (627)']",True,Fraud,Adversarial_Injection
REF_0127,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 165). ['CRITICAL: Hidden Debt Detected (₹46429)', 'CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (506)']",True,Fraud,Adversarial_Injection
REF_0128,REJECTED,CreditBureauAgent,CRITICAL FRAUD RISK (Score 80). ['CRITICAL: Income >1.5x Verified (3.3x)'],True,Fraud,Adversarial_Injection
REF_0129,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (586)']",True,Fraud,Adversarial_Injection
REF_0130,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Synthetic Profile (High Income / Deep Subprime)', 'Credit Score Risk (481)']",True,Fraud,Adversarial_Injection
REF_0131,REJECTED,CreditBureauAgent,"CRITICAL FRAUD RISK (Score 90). ['CRITICAL: Hidden Debt Detected (₹24500)', 'Credit Score Risk (546)']",True,Fraud,Adversarial_Injection
